dt,month,dir,sl,sim,E,TP,SL,risk_pct,reward_pct,outcome,bars,ret_net,R
2025-07-01 01:00:00+00:00,2025-07,LONG,wick2bar,0.7799978973103032,2483.54,2500.2049999999995,2482.39,0.04630487127246152,0.6710179823960761,LOSS,1,-0.0014630487127246152,-1.0
2025-07-01 01:00:00+00:00,2025-07,LONG,fib36_body,0.7799978973103032,2483.54,2500.2049999999995,2458.034,1.0270017797176554,0.6710179823960761,LOSS,3,-0.011270017797176554,-1.0
2025-07-01 01:00:00+00:00,2025-07,LONG,fib36_range,0.7799978973103032,2483.54,2500.2049999999995,2434.523999999999,1.9736344089485567,0.6710179823960761,LOSS,10,-0.02073634408948557,-1.0
2025-07-01 02:00:00+00:00,2025-07,SHORT,wick2bar,0.40690073780628216,2485.42,2475.665,2495.84,0.4192450370561141,0.3924889958236479,WIN,1,0.002924889958236479,0.9361804222648792
2025-07-01 02:00:00+00:00,2025-07,SHORT,fib36_body,0.40690073780628216,2485.42,2475.665,2497.5519999999997,0.48812675523652366,0.3924889958236479,WIN,1,0.002924889958236479,0.804071876030368
2025-07-01 02:00:00+00:00,2025-07,SHORT,fib36_range,0.40690073780628216,2485.42,2475.665,2539.858000000001,2.1902937934031677,0.3924889958236479,WIN,1,0.002924889958236479,0.179194680186633
2025-07-01 03:00:00+00:00,2025-07,LONG,wick2bar,0.4018600757586912,2460.9,2488.225,2459.92,0.03982282904628462,1.1103661262139792,LOSS,1,-0.001398228290462846,-1.0
2025-07-01 03:00:00+00:00,2025-07,LONG,fib36_body,0.4018600757586912,2460.9,2488.225,2402.0099999999998,2.3930269413629293,1.1103661262139792,LOSS,14,-0.024930269413629292,-1.0
2025-07-01 03:00:00+00:00,2025-07,LONG,fib36_range,0.4018600757586912,2460.9,2488.225,2386.9120000000003,3.0065423219147394,1.1103661262139792,LOSS,19,-0.031065423219147396,-1.0
2025-07-01 04:00:00+00:00,2025-07,SHORT,wick2bar,0.3874859470413306,2461.54,2424.1050000000005,2485.91,0.990030631230851,1.5207959245025267,WIN,8,0.014207959245025267,1.5361099712761452
2025-07-01 04:00:00+00:00,2025-07,SHORT,fib36_body,0.3874859470413306,2461.54,2424.1050000000005,2547.5439999999994,3.49391031630603,1.5207959245025267,WIN,8,0.014207959245025267,0.4352704525370882
2025-07-01 04:00:00+00:00,2025-07,SHORT,fib36_range,0.3874859470413306,2461.54,2424.1050000000005,2576.0259999999994,4.6509908431307,1.5207959245025267,WIN,8,0.014207959245025267,0.32698321192110547
2025-07-01 06:00:00+00:00,2025-07,SHORT,wick2bar,0.3317404792514694,2465.03,2456.8650000000002,2468.81,0.15334498971613916,0.3312332912784008,WIN,1,0.002312332912784008,2.160052910053046
2025-07-01 06:00:00+00:00,2025-07,SHORT,fib36_body,0.3317404792514694,2465.03,2456.8650000000002,2474.1040000000007,0.36810911023397375,0.3312332912784008,WIN,1,0.002312332912784008,0.8998236720299198
2025-07-01 06:00:00+00:00,2025-07,SHORT,fib36_range,0.3317404792514694,2465.03,2456.8650000000002,2529.5460000000003,2.6172500943193415,0.3312332912784008,WIN,1,0.002312332912784008,0.12655775311550552
2025-07-01 07:00:00+00:00,2025-07,SHORT,wick2bar,0.40311872445516483,2453.22,2451.63,2468.81,0.6354913134574212,0.06481277667717086,WIN,1,-0.0003518722332282914,0.10198845413724669
2025-07-01 07:00:00+00:00,2025-07,SHORT,fib36_body,0.40311872445516483,2453.22,2451.63,2476.440000000001,0.9465111160026889,0.06481277667717086,WIN,1,-0.0003518722332282914,0.06847545219636568
2025-07-01 07:00:00+00:00,2025-07,SHORT,fib36_range,0.40311872445516483,2453.22,2451.63,2529.5460000000003,3.1112578570205884,0.06481277667717086,WIN,1,-0.0003518722332282914,0.02083169562140923
2025-07-01 08:00:00+00:00,2025-07,SHORT,wick2bar,0.3839717902780174,2456.86,2435.504999999999,2465.04,0.33294530416872903,0.8691988961520366,WIN,3,0.007691988961520366,2.6106356968216815
2025-07-01 08:00:00+00:00,2025-07,SHORT,fib36_body,0.3839717902780174,2456.86,2435.504999999999,2486.2720000000004,1.1971378100502372,0.8691988961520366,WIN,3,0.007691988961520366,0.7260641914864931
2025-07-01 08:00:00+00:00,2025-07,SHORT,fib36_range,0.3839717902780174,2456.86,2435.504999999999,2504.144,1.9245703865910002,0.8691988961520366,WIN,3,0.007691988961520366,0.4516326875899054
2025-07-01 09:00:00+00:00,2025-07,LONG,wick2bar,0.410163796243968,2455.94,2462.3200000000006,2440.0,0.6490386572961903,0.25977833334692885,LOSS,2,-0.007490386572961903,-1.0
2025-07-01 09:00:00+00:00,2025-07,LONG,fib36_body,0.410163796243968,2455.94,2462.3200000000006,2446.1479999999992,0.3987068087982942,0.25977833334692885,LOSS,1,-0.004987068087982942,-1.0
2025-07-01 09:00:00+00:00,2025-07,LONG,fib36_range,0.410163796243968,2455.94,2462.3200000000006,2376.9239999999995,3.2173424432193185,0.25977833334692885,LOSS,15,-0.033173424432193184,-1.0
2025-07-01 10:00:00+00:00,2025-07,LONG,wick2bar,0.4026263963082388,2449.06,2458.2149999999997,2440.0,0.3699378537071344,0.3738168930120024,LOSS,1,-0.004699378537071345,-1.0
2025-07-01 10:00:00+00:00,2025-07,LONG,fib36_body,0.4026263963082388,2449.06,2458.2149999999997,2428.806,0.8270111797995928,0.3738168930120024,LOSS,2,-0.009270111797995927,-1.0
2025-07-01 10:00:00+00:00,2025-07,LONG,fib36_range,0.4026263963082388,2449.06,2458.2149999999997,2376.9239999999995,2.94545662417419,0.3738168930120024,LOSS,14,-0.030454566241741903,-1.0
2025-07-01 12:00:00+00:00,2025-07,LONG,wick2bar,0.38782482120884987,2443.47,2466.6000000000004,2423.5,0.8172803431185895,0.9466046237523099,LOSS,1,-0.009172803431185896,-1.0
2025-07-01 12:00:00+00:00,2025-07,LONG,fib36_body,0.38782482120884987,2443.47,2466.6000000000004,2428.9619999999986,0.5937457795676303,0.9466046237523099,LOSS,1,-0.006937457795676303,-1.0
2025-07-01 12:00:00+00:00,2025-07,LONG,fib36_range,0.38782482120884987,2443.47,2466.6000000000004,2346.3840000000005,3.9732838954437475,0.9466046237523099,WIN,25,0.0084660462375231,0.23824238304184664
2025-07-01 13:00:00+00:00,2025-07,LONG,wick2bar,0.5269390027593497,2419.94,2452.6349999999993,2406.7,0.5471210030000841,1.3510665553691106,LOSS,4,-0.006471210030000841,-1.0
2025-07-01 13:00:00+00:00,2025-07,LONG,fib36_body,0.5269390027593497,2419.94,2452.6349999999993,2374.6479999999997,1.8716166516525357,1.3510665553691106,LOSS,11,-0.019716166516525357,-1.0
2025-07-01 13:00:00+00:00,2025-07,LONG,fib36_range,0.5269390027593497,2419.94,2452.6349999999993,2277.089999999999,5.903038918320341,1.3510665553691106,WIN,16,0.012510665553691104,0.22887644382218386
2025-07-01 14:00:00+00:00,2025-07,LONG,wick2bar,0.3572241363599596,2423.54,2478.7649999999994,2406.7,0.6948513331737931,2.2786915008623523,LOSS,3,-0.007948513331737931,-1.0
2025-07-01 14:00:00+00:00,2025-07,LONG,fib36_body,0.3572241363599596,2423.54,2478.7649999999994,2371.722,2.138112017957193,2.2786915008623523,WIN,24,0.021786915008623522,1.065749353506498
2025-07-01 14:00:00+00:00,2025-07,LONG,fib36_range,0.3572241363599596,2423.54,2478.7649999999994,2277.089999999999,6.0428134051842015,2.2786915008623523,WIN,24,0.021786915008623522,0.37709115739159443
2025-07-01 15:00:00+00:00,2025-07,LONG,wick2bar,0.4045795792481837,2424.58,2428.9399999999996,2416.0,0.35387572280559637,0.17982495937439363,WIN,1,0.0007982495937439362,0.5081585081584743
